Zone,mesozone,totalemp
1812,124,180
1813,124,133
1814,124,75
1815,124,130
1816,124,3009
1817,124,1924
1818,125,9
1819,125,93
1820,125,7
1821,125,13
1822,125,25
1823,125,110
1824,126,2914
1825,126,2284
1826,126,189
1827,126,947
1828,126,6475
1829,126,6014
1830,126,4140
1831,126,5068
1832,126,1131
1833,126,1948
1834,126,1309
1835,126,3844
1836,127,6560
1837,127,4326
1838,127,2817
1839,127,4372
1840,127,4573
1841,127,13357
1842,127,2548
1843,127,1006
1844,127,8627
1845,127,4571
1846,127,1348
1847,127,3840
1848,127,998
1849,127,895
1850,127,1115
1851,127,1785
1852,127,2616
1853,127,8548
1854,127,3651
1855,127,2553
1856,127,1930
1857,127,2473
1858,127,1046
1859,127,2457
1860,127,1475
1861,127,4564
1862,127,2240
1863,127,6877
1864,127,5804
1865,127,3413
1866,127,1879
1867,127,2214
1868,127,3577
1869,127,5974
1870,127,3178
1871,127,15158
1872,127,1174
1873,127,1247
1874,127,4458
1875,127,5284
1876,127,13153
1877,127,2146
1878,127,5587
1879,127,5575
1880,127,2495
1881,127,2391
1882,127,2240
1883,128,6345
1884,128,5114
1885,128,1119
1886,128,1663
1887,128,2123
1888,128,1943
1889,128,3464
1890,128,1018
1891,128,1496
1892,128,4707
1893,128,10053
1894,128,8147
1895,128,5456
1896,128,1140
1897,128,2273
1898,129,7921
1899,129,3753
1900,129,4146
1901,129,3856
1902,129,1769
1903,129,2779
1904,129,241
1905,129,8734
1906,129,3438
1907,129,1328
1908,129,1964
1909,129,1570
1910,130,2799
1911,130,2128
1912,130,4710
1913,130,1666
1914,130,651
1915,130,1691
1916,130,4559
1917,130,3450
1918,130,3928
1919,130,2042
1920,130,2395
1921,130,8146
1922,130,2133
1923,130,5343
1924,130,1149
1925,130,353
1926,131,8489
1927,131,7247
1928,131,7253
1929,131,1704
1930,131,2070
1931,131,3307
1932,131,5781
1933,131,6077
1934,131,8697
1935,131,2358
1936,131,8209
1937,131,8432
1938,131,3376
1939,132,5596
1940,132,7389
1941,132,4017
1942,132,5507
1943,132,6061
1944,132,5749
